track_id,path,label,artist,split,label_idx
blues.00000,data/raw/gtzan/genres_original\blues\blues.00000.wav,blues,,train,0
blues.00001,data/raw/gtzan/genres_original\blues\blues.00001.wav,blues,,train,0
blues.00002,data/raw/gtzan/genres_original\blues\blues.00002.wav,blues,,test,0
blues.00003,data/raw/gtzan/genres_original\blues\blues.00003.wav,blues,,train,0
blues.00004,data/raw/gtzan/genres_original\blues\blues.00004.wav,blues,,val,0
blues.00005,data/raw/gtzan/genres_original\blues\blues.00005.wav,blues,,train,0
blues.00006,data/raw/gtzan/genres_original\blues\blues.00006.wav,blues,,train,0
blues.00007,data/raw/gtzan/genres_original\blues\blues.00007.wav,blues,,val,0
blues.00008,data/raw/gtzan/genres_original\blues\blues.00008.wav,blues,,train,0
blues.00009,data/raw/gtzan/genres_original\blues\blues.00009.wav,blues,,train,0
blues.00010,data/raw/gtzan/genres_original\blues\blues.00010.wav,blues,,train,0
blues.00011,data/raw/gtzan/genres_original\blues\blues.00011.wav,blues,,train,0
blues.00012,data/raw/gtzan/genres_original\blues\blues.00012.wav,blues,,train,0
blues.00013,data/raw/gtzan/genres_original\blues\blues.00013.wav,blues,,train,0
blues.00014,data/raw/gtzan/genres_original\blues\blues.00014.wav,blues,,train,0
blues.00015,data/raw/gtzan/genres_original\blues\blues.00015.wav,blues,,train,0
blues.00016,data/raw/gtzan/genres_original\blues\blues.00016.wav,blues,,train,0
blues.00017,data/raw/gtzan/genres_original\blues\blues.00017.wav,blues,,train,0
blues.00018,data/raw/gtzan/genres_original\blues\blues.00018.wav,blues,,test,0
blues.00019,data/raw/gtzan/genres_original\blues\blues.00019.wav,blues,,train,0
blues.00020,data/raw/gtzan/genres_original\blues\blues.00020.wav,blues,,train,0
blues.00021,data/raw/gtzan/genres_original\blues\blues.00021.wav,blues,,test,0
blues.00022,data/raw/gtzan/genres_original\blues\blues.00022.wav,blues,,train,0
blues.00023,data/raw/gtzan/genres_original\blues\blues.00023.wav,blues,,train,0
blues.00024,data/raw/gtzan/genres_original\blues\blues.00024.wav,blues,,test,0
blues.00025,data/raw/gtzan/genres_original\blues\blues.00025.wav,blues,,test,0
blues.00026,data/raw/gtzan/genres_original\blues\blues.00026.wav,blues,,val,0
blues.00027,data/raw/gtzan/genres_original\blues\blues.00027.wav,blues,,test,0
blues.00028,data/raw/gtzan/genres_original\blues\blues.00028.wav,blues,,val,0
blues.00029,data/raw/gtzan/genres_original\blues\blues.00029.wav,blues,,train,0
blues.00030,data/raw/gtzan/genres_original\blues\blues.00030.wav,blues,,train,0
blues.00031,data/raw/gtzan/genres_original\blues\blues.00031.wav,blues,,train,0
